id,product_name,product_category,price,product_url,image_url,description,color
22,IDANÄS,center-table,21990,https://www.ikea.com/in/en/p/idanaes-coffee-table-white-00487874/,https://www.ikea.com/in/en/images/products/idanaes-coffee-table-white__1161069_pe889277_s5.jpg?f=xxs,"Coffee table, 107x55 cm (42 1/8x21 5/8 ")",Gray
23,BJÖRKSTA,painting,2980,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-water-lilies-ii-aluminium-colour-s99384669/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-water-lilies-ii-aluminium-colour__0921128_pe787680_s5.jpg?f=xxs,"Picture with frame, 118x78 cm (46 ½x30 ¾ ")",Slate
24,COLORADOGRAN,painting,299,https://www.ikea.com/in/en/p/coloradogran-picture-set-of-3-colourful-adventures-10570655/,https://www.ikea.com/in/en/images/products/coloradogran-picture-set-of-3-colourful-adventures__1246045_pe921926_s5.jpg?f=xxs,"Picture, set of 3",Orange
25,BJÖRKSTA,painting,3280,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-white-flowers-aluminium-colour-s29508932/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-white-flowers-aluminium-colour__1176912_pe895322_s5.jpg?f=xxs,"Picture with frame, 140x56 cm (55x22 ")",Peach
26,RAMHÄLL,painting,2290,https://www.ikea.com/in/en/p/ramhaell-picture-set-of-5-peaceful-outdoors-10554839/,https://www.ikea.com/in/en/images/products/ramhaell-picture-set-of-5-peaceful-outdoors__1180169_pe896217_s5.jpg?f=xxs,"Picture, set of 5",Gray
27,PJÄTTERYD,painting,4490,https://www.ikea.com/in/en/p/pjaetteryd-picture-set-of-9-in-the-nature-90518055/,https://www.ikea.com/in/en/images/products/pjaetteryd-picture-set-of-9-in-the-nature__1024963_pe833732_s5.jpg?f=xxs,"Picture, set of 9, 179x112 cm (70 ½x44 ")",Gray
28,KOPPARFALL,painting,1990,https://www.ikea.com/in/en/p/kopparfall-picture-city-skyline-90508792/,https://www.ikea.com/in/en/images/products/kopparfall-picture-city-skyline__0440293_pe593511_s5.jpg?f=xxs,"Picture, 70x49 cm (27 ½x19 ¼ ")",Gray
29,BJÖRKSTA,painting,5580,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-periodic-table-aluminium-colour-s39508941/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-periodic-table-aluminium-colour__1175835_pe895338_s5.jpg?f=xxs,"Picture with frame, 200x140 cm (78 ¾x55 ")",Gray
30,PJÄTTERYD,painting,1290,https://www.ikea.com/in/en/p/pjaetteryd-picture-moonlight-30554503/,https://www.ikea.com/in/en/images/products/pjaetteryd-picture-moonlight__1179598_pe896010_s5.jpg?f=xxs,"Picture, 50x70 cm (19 ¾x27 ½ ")",Gray
31,KNOPPÄNG,painting,3490,https://www.ikea.com/in/en/p/knoppaeng-frame-with-poster-set-of-8-little-things-70512752/,https://www.ikea.com/in/en/images/products/knoppaeng-frame-with-poster-set-of-8-little-things__0995551_pe821746_s5.jpg?f=xxs,"Frame with poster, set of 8",Cream
32,KNOPPÄNG,painting,1290,https://www.ikea.com/in/en/p/knoppaeng-frame-with-poster-garden-20465772/,https://www.ikea.com/in/en/images/products/knoppaeng-frame-with-poster-garden__0771328_pe755690_s5.jpg?f=xxs,"Frame with poster, 40x50 cm (15 ¾x19 ¾ ")",Gray
33,KÄNGSLEBODA,painting,79,https://www.ikea.com/in/en/p/kaengsleboda-wall-decoration-family-40525015/,https://www.ikea.com/in/en/images/products/kaengsleboda-wall-decoration-family__1060783_pe850180_s5.jpg?f=xxs,"Wall decoration, 20x20 cm (7 ¾x7 ¾ ")","Steel Blue"
34,BJÖRNAMO,painting,999,https://www.ikea.com/in/en/p/bjoernamo-picture-set-of-2-wild-animals-ii-50486103/,https://www.ikea.com/in/en/images/products/bjoernamo-picture-set-of-2-wild-animals-ii__0878813_pe781729_s5.jpg?f=xxs,"Picture, set of 2, 30x20 cm (11 ¾x7 ¾ ")",Peach
